ID,CalcRMSD,COM_Distance
mac-x5327,1.4599705666743956,0.32763961777507733
mac-x4788,1.1648752079085547,0.5010310294782195
mac-x5119,0.5156203060392404,0.3566472697217873
mac-x5657,0.7923728999025651,0.5535775585058124
mac-x5131,3.9977774642726365,2.521254395988216
mac-x3597,3.5099416946724338,1.289233499021808
mac-x4373,0.5255570957275388,0.3655563747741175
mac-x3408,0.3486273878448959,0.20858205153422082
mac-x5079,0.41511412508141105,0.3539218852105931
mac-x3420,0.46726237857844105,0.1608614157747761
mac-x5723,1.8075989453881682,0.8655380582007411
mac-x3434,0.3420661891765649,0.14517519216365415
mac-x5092,0.49661921026073885,0.31982723836471444
mac-x5509,0.3342057749351437,0.2224179399239186
mac-x4165,1.4472320851657943,0.6538600993438148
mac-x5253,0.8548993767949794,0.74226576094855
mac-x3636,1.6990322245325429,0.29558340197085425
mac-x4159,1.072263626966002,0.4693020122317949
mac-x4818,2.535327427900915,1.3585338968039824
mac-x4830,1.0273123186256463,0.4434531936969098
mac-x4824,2.3546650274092804,0.8982765161312439
mac-x4831,1.808657585301752,0.6962531235824252
mac-x4819,2.1674897109464726,0.7448924819654059
mac-x5246,5.292129305951348,3.1484945546631917
mac-x3623,1.3734275008168433,0.5500259312068836
mac-x5252,1.2755780113963613,0.9071029407693176
mac-x5087,0.7576312341479338,0.5678759166497233
mac-x5093,0.8207477938907116,0.3724428197445057
mac-x3421,0.5622316944648977,0.4609149546967742
mac-x5078,3.0622021397099912,1.664660627000719
mac-x3409,0.7413391525681311,0.4496271465208393
mac-x4372,0.5642862363390931,0.4990914353798932
mac-x5681,1.847577765616375,0.7214267010583958
mac-x5656,0.7552025172794796,0.2717631871996235
mac-x3555,1.1956347317490845,0.6362928451390123
mac-x5124,0.5959077109754485,0.31502530243850496
mac-x5642,0.8952967230042909,0.43823569536421364
mac-x3233,1.2922042445077364,0.7583486206129069
mac-x5118,1.4592293199950908,0.7981014244321158
mac-x4951,2.390905516844233,1.4436299933927523
mac-x5332,3.981981687552066,1.7340570426603579
mac-x4762,3.2391199632560137,1.6433698616154901
mac-x4760,3.4012126734445745,1.7782618557175394
mac-x5456,1.8593421870169702,0.5462282558411143
mac-x3966,1.381836166293308,0.7712591363016755
mac-x4953,0.863779421431704,0.28303224743201194
mac-x5132,0.9586212412681706,0.17750877626464884
mac-x3543,0.43441397307176904,0.3038734702758661
mac-x5654,0.6220922761134392,0.281866732694729
mac-x3231,4.6717614094329205,0.3681166355094824
mac-x5640,4.376858588074328,2.686526172401832
mac-x4358,2.7579125892602185,1.7429797080000535
mac-x5720,1.8297210045647552,0.40044133968526674
mac-x5734,3.063465539403229,2.076770886452046
mac-x5052,1.1586151431774057,0.6521409376047436
mac-x5085,1.76766192588134,0.45533895626988746
mac-x5091,1.7254405387122387,0.7542464493593652
mac-x4166,1.4683822212986943,0.23648522736087976
mac-x5244,0.8310409768857112,0.2233981514516638
mac-x4827,0.9543676540241819,0.4027223629093722
mac-x4833,3.7102389000780223,2.1669532931443647
mac-x5292,0.32653177487037965,0.225667697560435
mac-x4826,2.162240403493561,1.771570856833354
mac-x5251,0.33511388480556004,0.19618537364193145
mac-x5523,0.37844253196489436,0.2545685824968161
mac-x5279,1.6498417749447796,0.4718101709058941
mac-x5090,1.2642020501207116,0.34395180518591456
mac-x5084,0.7355316015251182,0.3890822214767075
mac-x5053,2.004645722736118,1.3830797833026938
mac-x4359,4.155568065543918,2.3140727877566953
mac-x5709,1.5163592304561202,1.2215717873211271
mac-x4371,0.44482219212702906,0.2688988608259588
mac-x4365,0.8847830437360097,0.6787434883288901
mac-x5682,2.8657549845684547,1.5240427039407258
mac-x5641,1.9267207646054745,0.7489013616178726
mac-x5127,2.922412039811426,1.0879070026904085
mac-x5325,5.745401234900831,2.2088153448172205
mac-x4985,1.0522150864891133,0.6589863611801432
mac-x5331,4.189359565043014,1.52300449502668
mac-x3998,0.8450948171655055,0.46032527735221546
mac-x4761,1.954291508450057,0.803171653508762
mac-x4775,1.12868078414581,0.5142015541412305
mac-x4013,0.5606702621480321,0.38613167892493333
mac-x5335,1.501530136227708,0.7567352591891129
mac-x4995,7.173874464564691,4.426211892662846
mac-x5453,0.7195484695279396,0.5761779454243232
mac-x4981,3.0092086920619097,1.2514821000366023
mac-x4759,1.6034874985152627,0.7518773493572302
mac-x4771,2.5768017202072713,0.5238711303544366
mac-x4765,1.309575664500769,0.7435034309272281
mac-x5490,0.661384199103313,0.2984057756150322
mac-x4942,2.0571335504639556,0.7024445542901228
mac-x3963,0.8246084676984591,0.484814760050174
mac-x5651,1.3117866103566964,0.20227453535806644
